BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1717.84,55.8982,18.7136,7.70125,29.125,51.1261,905.829,55.8982,154.661955876312
1717.87,55.9701,18.7537,7.88788,29.125,50.8601,905.591,55.9701,83.1744179487184
1717.95,55.9393,18.9247,7.19975,29.125,51.0615,905.591,55.9393,179.840504950402
1718.01,55.8746,18.9691,7.4735,29.125,51.1318,905.472,55.8746,161.413248574768
1718.03,55.887,18.9694,7.55613,29.125,51.2686,905.472,55.887,135.637082486889
1718.09,55.8732,19.0039,7.67837,29.125,51.3066,905.472,55.8732,129.340628412433
1718.12,55.9172,18.9914,7.54175,29.125,51.3998,905.472,55.9172,166.82265584129
1718.2,55.9011,19.0126,7.66062,29.125,51.5708,905.472,55.9011,169.995685572306
1718.26,55.9123,18.9481,7.68975,29.125,51.2971,906.186,55.9123,174.071304506051
1718.29,55.9254,18.9125,7.69312,29.125,51.0235,906.186,55.9254,183.574757844363
1718.35,56.0502,18.8823,7.7075,29.125,51.1565,905.71,56.0502,182.446577842162
1718.37,56.0716,18.8656,7.567,29.125,51.206,905.591,56.0716,184.803791425109
1718.45,56.0387,18.9566,7.63487,29.4343,51.0425,905.948,56.0387,16.3329276922907
1718.51,56.0331,18.9946,7.60463,29.4343,50.9152,905.829,56.0331,188.138677102401
1718.53,56.022,18.9855,7.72038,29.4343,51.052,905.472,56.022,163.670909688531
1718.62,56.0666,18.9639,7.226,29.4343,51.4986,905.472,56.0666,168.84607278128
1718.71,55.9258,19.0197,7.15013,29.4343,51.5138,905.829,55.9258,165.856353304857
1718.85,55.8657,19.2085,7.544,29.4343,50.9684,905.472,55.8657,143.41971627575
1718.87,55.9294,19.1618,7.727,29.4343,50.9228,905.472,55.9294,391.144785109006
1718.95,55.9346,19.1544,7.56175,29.4343,50.957,905.948,55.9346,144.606205926945
1719.01,56.0634,19.2318,7.65338,29.4343,51.0083,905.829,56.0634,152.628514610142
1719.04,56.002,19.2196,7.55688,29.4343,50.8924,906.067,56.002,141.517670494876
1719.1,55.9484,19.2232,7.47612,29.4343,51.2421,905.472,55.9484,149.744488932869
1719.12,55.9297,19.2636,7.70062,29.4343,51.2857,905.472,55.9297,146.097506362704
1719.21,55.7537,19.3441,7.55613,29.4343,51.3504,905.472,55.7537,137.10682179429
1720.47,54.6035,18.7539,6.75087,29.8423,51.1014,905.591,54.6035,114.816378358332
1722.03,48.0144,18.4263,0.352875,23.9244,0.0,944.835,48.0144,128.042954410376
1724.21,49.4059,18.3279,0.345,1.84238,0.253849,944.003,49.4059,154.34309141169
1724.76,47.9405,18.2702,0.2475,1.84238,0.0,944.835,47.9405,141.24006652832
1728.09,49.5241,18.2828,0.36,1.75363,0.0,944.835,49.5241,174.040489182654
1728.55,49.5133,18.504,0.37425,1.75363,0.0,944.122,49.5133,158.527257285006
1730.08,55.3768,21.1942,7.86662,45.4079,51.7551,944.241,55.3768,180.691700566236
1730.76,54.7634,21.8414,7.8915,45.1346,52.0705,944.716,54.7634,215.75718154796
1731.05,54.7605,21.602,7.93038,45.1346,51.3751,944.003,54.7605,216.799269549655
1732.2,54.2148,22.2281,7.94362,41.4887,51.8653,944.479,54.2148,192.417253664976
1733.03,54.6823,20.7551,7.56238,38.871,52.2035,944.597,54.6823,145.099100027726
1733.36,54.9467,20.6164,7.74613,38.871,51.8121,944.716,54.9467,148.539028883582
1734.29,54.266,21.5698,7.67763,37.7744,51.6411,944.003,54.266,151.099310903832
1734.58,54.1852,21.8299,8.26538,37.7744,52.2644,944.241,54.1852,155.637624150821
1736.23,53.7223,21.5299,8.23112,41.4477,51.6886,944.241,53.7223,123.353015112861
1736.81,53.9446,21.2182,7.39425,34.6711,51.8691,944.479,53.9446,146.522933202133
1737.2,53.9607,21.3801,8.19462,34.6711,51.5157,944.003,53.9607,137.972100652813
1738.01,53.6816,21.4395,7.9195,34.6711,52.0173,944.241,53.6816,140.263853534709
1739.54,53.9613,20.6118,7.50063,21.8538,51.6734,944.122,53.9613,135.812782444203
1740.02,53.7013,20.851,7.698,21.8538,51.6411,944.36,53.7013,141.1555660352
1742.07,53.9288,21.2846,7.40425,22.0939,52.0002,944.716,53.9288,147.126424305272
1745.12,51.8448,17.3523,7.63287,38.5341,41.0797,820.086,51.8448,159.617413268426
1746.74,51.9029,16.5293,7.0545,34.3927,40.8175,820.681,51.9029,150.906043268439
1747.0,51.6833,17.167,6.84375,34.3927,40.6047,820.681,51.6833,155.34652461509
1747.05,56.8005,16.3521,8.13338,34.3927,40.808,820.8,56.8005,146.230796176177
1747.22,57.6443,15.9458,7.37687,34.3927,40.7548,820.324,57.6443,139.768904926894
1747.28,57.0067,15.8186,7.27825,34.3927,40.5496,820.681,57.0067,143.01604959168
1747.45,56.3333,14.9166,7.42637,34.3927,40.7206,820.443,56.3333,135.379804443905
1747.97,55.5098,17.3223,8.39962,29.9235,40.998,820.205,55.5098,160.038798492051
1748.05,55.5561,17.381,9.032,29.9235,40.5952,820.205,55.5561,167.949790415239
1748.12,55.5479,17.505,8.47087,29.9235,40.9239,820.8,55.5479,165.765043094335
1749.07,55.1292,17.7883,8.34112,37.5305,41.1348,820.562,55.1292,152.500960963676
1749.62,54.3038,18.4851,9.01725,37.5305,40.656,820.324,54.3038,148.51092705188
1750.46,53.9121,17.8023,8.46625,42.078,40.6978,820.681,53.9121,158.560273918252
1752.09,54.202,17.834,8.39987,36.9612,40.6028,820.324,54.202,159.734527604974
1756.34,56.042,15.4395,7.13775,38.4944,40.6408,819.967,56.042,143.674806684008
1757.35,51.6216,16.6893,5.75437,14.7183,40.9163,820.443,51.6216,144.267936980384
1758.03,55.9238,17.0639,8.23687,9.99323,40.6807,820.681,55.9238,119.731079895077
1759.08,55.78,17.7221,8.02962,28.2954,40.9981,820.681,55.78,137.147227750824
1759.82,55.5754,18.2079,8.60125,30.0552,40.8061,820.205,55.5754,151.941128000938
1760.77,55.4264,18.3906,8.77262,33.8361,40.5933,820.443,55.4264,161.612992952196
1770.03,55.2251,17.8288,8.15775,30.8287,40.7605,819.848,55.2251,144.018753051758
1773.74,56.6324,16.3671,8.66075,40.0043,40.6313,804.864,56.6324,140.543736767486
1779.98,55.4034,16.484,7.73887,27.9108,41.5909,821.989,55.4034,152.765439565197
