BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1646.3733333333332,4.095,20.242,8.654,33.062,31.911,943.765,51.457,108.66666666666667
1646.7266666666667,4.095,20.242,8.654,33.062,31.911,943.765,51.457,107.33333333333333
1647.08,2.993,19.192,8.035,33.062,31.919,942.932,52.559,106.0
1647.2533333333333,2.993,19.192,8.035,33.062,31.919,942.932,52.559,99.33333333333333
1647.4266666666665,2.993,19.192,8.035,33.062,31.919,942.932,52.559,92.66666666666667
1647.6,3.078,19.333,8.161,23.65,31.778,943.408,52.474,86.0
1647.8966666666665,3.078,19.333,8.161,23.65,31.778,943.408,52.474,90.66666666666667
1648.1933333333334,3.078,19.333,8.161,23.65,31.778,943.408,52.474,95.33333333333333
1648.49,1.495,19.337,8.201,23.65,31.87,943.289,54.057,100.0
1648.51,1.495,19.337,8.201,23.65,31.87,943.289,54.057,99.0
1648.53,1.495,19.337,8.201,23.65,31.87,943.289,54.057,98.0
1648.55,3.045,19.497,8.334,20.684,31.887,943.646,52.506,97.0
1648.6966666666667,3.045,19.497,8.334,20.684,31.887,943.646,52.506,97.0
1648.8433333333332,3.045,19.497,8.334,20.684,31.887,943.646,52.506,97.0
1648.99,3.068,19.127,8.196,20.684,31.858,942.932,52.484,97.0
1649.07,3.068,19.127,8.196,20.684,31.858,942.932,52.484,98.33333333333333
1649.15,3.068,19.127,8.196,20.684,31.858,942.932,52.484,99.66666666666667
1649.23,3.124,19.364,8.093,20.684,31.784,943.289,52.428,101.0
1649.4766666666667,3.124,19.364,8.093,20.684,31.784,943.289,52.428,101.0
1649.7233333333334,3.124,19.364,8.093,20.684,31.784,943.289,52.428,101.0
1649.97,2.602,18.982,8.134,20.629,31.801,943.884,52.95,101.0
1650.0966666666666,2.602,18.982,8.134,20.629,31.801,943.884,52.95,99.66666666666667
1650.2233333333334,2.602,18.982,8.134,20.629,31.801,943.884,52.95,98.33333333333333
1650.35,2.589,19.035,8.073,20.629,31.864,943.646,52.963,97.0
1650.3799999999999,2.589,19.035,8.073,20.629,31.864,943.646,52.963,97.33333333333333
1650.41,2.589,19.035,8.073,20.629,31.864,943.646,52.963,97.66666666666667
1650.44,2.611,18.865,8.027,20.629,31.86,943.765,52.941,98.0
1650.5433333333333,2.611,18.865,8.027,20.629,31.86,943.765,52.941,96.0
1650.6466666666668,2.611,18.865,8.027,20.629,31.86,943.765,52.941,94.0
1650.75,2.73,19.13,8.499,20.944,31.674,943.884,52.822,92.0
1650.9266666666667,2.73,19.13,8.499,20.944,31.674,943.884,52.822,93.33333333333333
1651.1033333333332,2.73,19.13,8.499,20.944,31.674,943.884,52.822,94.66666666666667
1651.28,2.758,19.508,8.283,20.944,31.82,943.765,52.794,96.0
1651.2866666666666,2.758,19.508,8.283,20.944,31.82,943.765,52.794,94.0
1651.2933333333333,2.758,19.508,8.283,20.944,31.82,943.765,52.794,92.0
1651.3,2.757,19.54,8.268,20.944,31.862,943.646,52.795,90.0
1651.37,2.757,19.54,8.268,20.944,31.862,943.646,52.795,90.0
1651.44,2.757,19.54,8.268,20.944,31.862,943.646,52.795,90.0
1651.51,2.744,19.421,8.263,20.684,31.928,943.527,52.808,90.0
