MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
543.9,0.8,10.37,4.470000000000001,0.605,79.0,4016.445,70.01,84.5778
544.0,0.785,10.345,4.24,0.62,79.0,4016.52,70.035,86.4457
544.1,0.83,10.34,3.22,0.68,79.0,4017.0,69.98,87.7844
544.2,0.825,10.335,3.43,0.6200000000000001,79.0,4016.92,69.99000000000001,89.0867
544.3,0.8,10.335,3.9,0.6200000000000001,79.0,4016.84,70.01499999999999,90.7176
544.4,0.8049999999999999,10.335,4.075,0.56,79.0,4016.92,70.00999999999999,92.2918
544.5,0.84,10.36,4.345,0.5800000000000001,79.0,4016.76,69.97,93.2229
544.6,1.12,10.435,5.6850000000000005,0.6,79.0,4016.445,69.695,92.86
544.7,1.425,10.57,4.805,0.6,79.0,4015.81,69.38499999999999,91.1146
544.8,1.525,10.66,5.87,0.59,79.0,4015.97,69.28999999999999,88.1523
544.9,1.55,10.745,4.92,0.58,79.0,4015.73,69.265,84.3512
545.0,1.405,10.67,5.265000000000001,0.49,79.0,4015.65,69.41499999999999,80.5046
545.1,1.02,10.58,5.3,0.4,79.0,4015.73,69.8,77.2921
545.2,0.88,10.49,5.44,0.485,79.0,4016.125,69.94,75.6862
545.3,0.76,10.32,3.73,0.57,79.0,4017.0,70.05,75.5737
545.4,0.585,10.295,3.67,0.505,79.0,4016.84,70.225,76.4567
545.5,0.39,10.17,3.53,0.44,79.0,4017.0,70.43,77.9603
545.6,0.615,10.23,3.255,0.505,79.0,4016.81,70.20500000000001,79.898
545.7,0.72,10.25,4.095,0.505,79.0,4016.59,70.095,82.225
545.8,0.84,10.3,4.1,0.57,79.0,4016.89,69.98,84.6358
545.9,0.825,10.31,4.635,0.515,79.0,4016.865,69.995,86.3004
546.0,0.6950000000000001,10.265,4.575,0.46,79.0,4016.77,70.12,86.4511
546.1,0.38,10.215,3.875,0.46,79.0,4016.96,70.43,84.5557
546.2,0.48,10.14,3.64,0.46,79.0,4017.23,70.34,81.1036
546.3,0.6699999999999999,10.215,3.695,0.48,79.0,4017.14,70.14500000000001,77.4279
546.4,0.845,10.27,3.93,0.485,79.0,4016.94,69.965,74.2571
546.5,0.845,10.245,3.475,0.485,79.0,4016.615,69.975,71.8162
546.6,0.85,10.21,2.115,0.4599999999999999,79.0,4016.8,69.97,69.6931
546.7,0.955,10.2,2.595,0.45,79.0,4017.26,69.86,67.7366
546.8,1.04,10.34,5.34,0.45,79.0,4016.95,69.78,66.2084
546.9,1.135,10.38,5.115,0.42,79.0,4016.92,69.685,65.4626
547.0,1.17,10.405,4.505,0.485,79.0,4016.375,69.645,65.457
547.1,1.31,10.4,4.96,0.58,79.0,4016.52,69.51,65.7846
547.2,1.095,10.37,5.05,0.495,79.0,4016.365,69.72,65.9148
547.3,0.75,10.285,4.39,0.41,79.0,4016.445,70.06,65.7667
547.4,0.72,10.275,4.025,0.47,79.0,4016.46,70.095,65.6607
547.5,0.79,10.39,4.28,0.53,79.0,4016.93,70.03,65.6856
547.6,0.98,10.455,4.075,0.51,79.0,4016.44,69.84,65.5152
547.7,1.135,10.48,5.13,0.51,79.0,4015.865,69.67500000000001,64.9522
547.8,1.0550000000000002,10.405,4.47,0.495,79.0,4016.365,69.75999999999999,64.0618
547.9,0.83,10.31,3.77,0.5,79.0,4016.21,69.99,63.0749
548.0,0.8,10.29,3.99,0.51,79.0,4016.53,70.015,62.3884
548.1,0.525,9.97,2.325,0.52,79.0,4017.17,70.295,62.5951
548.2,0.315,10.025,3.15,0.52,79.0,4018.12,70.5,63.4514
548.3,0.36,10.045,2.625,0.17,79.0,4017.565,70.46000000000001,64.5141
548.4,0.76,10.13,5.33,0.17,79.0,4017.91,70.06,65.0558
548.5,1.53,10.22,4.44,0.28,79.0,4016.81,69.285,64.5098
548.6,0.01,9.7,2.01,0.28,79.0,4021.29,71.19,62.9837
548.7,0.01,9.89,3.49,0.12,79.0,4021.29,70.67,61.2261
548.8,0.03,10.04,3.24,0.12,79.0,4021.29,70.64,59.8853
548.9,0.05,10.12,3.46,0.38,79.0,4021.29,70.63,59.0079
549.0,0.3299999999999999,10.29,3.61,0.45,79.0,4021.275,70.345,58.7379
549.1,0.61,10.46,3.76,0.52,79.0,4021.26,70.06,59.3373
549.3,0.75,10.515,4.54,0.655,79.0,4021.0,69.92,62.3856
549.4,0.8300000000000001,10.535,4.545,0.79,79.0,4020.675,69.845,63.62
549.5,0.885,10.47,4.715,0.7250000000000001,79.0,4020.465,69.78999999999999,63.7566
549.6,0.885,10.38,3.84,0.79,79.0,4020.37,69.78999999999999,62.9501
549.7,0.8049999999999999,10.29,4.35,0.7250000000000001,79.0,4020.46,69.87,61.8719
549.8,0.73,10.22,4.54,0.6950000000000001,79.0,4020.99,69.945,61.2217
549.9,0.78,10.22,4.465,0.6950000000000001,79.0,4021.205,69.9,61.2588
550.0,0.7849999999999999,10.245,4.71,0.715,79.0,4021.27,69.89,62.0568
550.1,0.84,10.26,4.93,0.83,79.0,4021.29,69.83,63.157
550.2,0.985,10.385,5.375,0.725,79.0,4021.01,69.685,64.0365
550.3,1.14,10.515,5.92,0.725,79.0,4020.975,69.535,64.3109
550.4,1.38,10.65,5.72,0.62,79.0,4020.83,69.29,64.092
550.5,1.03,10.56,5.64,0.625,79.0,4020.575,69.64500000000001,63.789
550.6,0.8,10.475,5.84,0.63,79.0,4020.495,69.88,63.7145
550.7,0.7150000000000001,10.39,5.029999999999999,0.62,79.0,4020.605,69.965,63.7279
550.8,0.73,10.295,4.865,0.7,79.0,4020.725,69.945,63.4644
550.9,0.725,10.245,4.55,0.69,79.0,4021.035,69.95,62.8052
551.0,0.73,10.195,3.555,0.77,79.0,4021.14,69.94,62.213
551.1,0.77,10.1,5.07,0.68,79.0,4021.18,69.9,62.2125
551.3,0.74,10.17,4.96,0.7050000000000001,79.0,4021.23,69.93,64.4325
551.4,0.7749999999999999,10.239999999999998,5.045,0.905,79.0,4021.25,69.895,65.7405
551.6,0.715,10.315,4.81,0.86,79.0,4021.235,69.955,67.293
551.7,0.595,10.329999999999998,5.109999999999999,1.08,79.0,4021.15,70.08,68.1991
551.9,0.5549999999999999,10.295,4.805,1.01,79.0,4021.095,70.12,71.2
552.0,0.365,10.26,4.865,0.955,79.0,4021.08,70.315,72.2947
552.1,0.37,10.205,5.215,0.955,79.0,4021.095,70.305,72.6286
552.3,0.4,10.215,5.005,0.95,79.0,4021.165,70.275,72.3924
552.9,0.01,9.635,2.855,1.005,79.0,4021.235,71.135,64.6445
