MD,TVD,RPMA,WOBA,ROPA
1613.6,1554.75,51.03,1.99,15.31
1613.7,1554.84,51.16,2.04,15.31
1613.8,1554.94,51.05,1.99,15.31
1613.9,1555.04,51.17,2.13,15.31
1614.0,1555.13,51.01,2.17,15.31
1614.1,1555.23,51.14,1.75,15.95
1614.2,1555.32,51.05,2.04,15.95
1614.3,1555.42,51.2,2.15,15.95
1614.4,1555.51,51.14,2.06,15.95
1614.5,1555.61,51.11,1.88,15.95
1614.6,1555.71,51.12,2.06,15.95
1614.7,1555.8,51.11,2.23,14.07
1614.8,1555.9,51.12,2.07,14.07
1614.9,1555.99,51.11,2.35,14.07
1615.0,1556.09,50.88,2.02,14.07
1615.1,1556.18,51.2,1.97,14.07
1615.2,1556.28,51.07,2.05,13.99
1615.3,1556.38,51.26,2.4,13.99
1615.4,1556.47,51.12,2.1,13.99
1615.5,1556.57,51.41,1.87,13.99
1615.6,1556.66,51.22,0.68,13.99
1615.7,1556.76,51.03,1.99,15.2
1615.8,1556.85,51.32,1.93,15.2
1615.9,1556.95,51.14,1.98,15.2
1616.0,1557.05,51.14,1.94,15.2
1616.1,1557.14,51.07,2.08,15.2
1616.2,1557.24,51.31,2.04,15.2
1616.3,1557.33,51.16,2.02,11.11
1616.4,1557.43,51.05,1.99,11.11
1616.5,1557.52,51.23,1.98,11.11
1616.6,1557.62,51.26,2.0,11.11
1616.7,1557.71,51.13,1.97,11.11
1616.8,1557.81,51.01,1.96,10.32
1616.9,1557.91,51.04,2.19,10.31
1617.0,1558.0,51.16,2.25,10.31
1617.1,1558.1,51.11,2.17,10.31
1617.2,1558.19,51.33,2.13,10.31
1617.3,1558.29,51.17,2.12,10.31
1617.4,1558.38,50.76,1.83,10.59
1617.5,1558.48,51.09,2.21,10.58
1617.6,1558.58,51.02,2.39,10.58
1617.7,1558.67,50.99,2.29,10.58
1617.8,1558.77,50.86,2.54,10.58
1617.9,1558.86,50.89,2.57,13.43
1618.0,1558.96,51.06,2.65,13.43
1618.1,1559.05,51.21,2.64,13.43
1618.2,1559.15,51.14,2.63,13.43
1618.3,1559.24,51.0,2.54,13.43
1618.4,1559.34,50.98,2.62,16.26
1618.5,1559.44,51.02,2.59,16.26
1618.6,1559.53,51.12,2.78,16.26
1618.7,1559.63,51.09,3.26,16.26
1618.8,1559.72,50.81,2.88,16.26
1618.9,1559.82,51.06,2.81,12.78
1619.0,1559.91,51.05,2.98,12.78
1619.1,1560.01,51.17,2.82,12.78
1619.2,1560.1,51.06,2.84,12.78
1619.3,1560.2,29.83,2.6274680354382043,12.42
1619.4,1560.3,30.15,2.1324581920506,12.42
1619.5,1560.39,30.4,1.4890884683250833,12.42
1619.6,1560.49,31.99,0.8314768627495477,12.42
1619.7,1560.58,32.47,0.29374137381188853,12.42
1619.8,1560.68,32.09,0.01,12.42
1619.9,1560.77,31.47,0.01,12.42
1620.0,1560.87,30.7,0.01,12.42
1620.1,1560.96,31.76,0.01,12.42
1620.2,1561.06,32.13,0.01,12.42
1620.3,1561.15,31.23,0.01,12.42
1620.4,1561.25,30.09,0.01,12.42
1620.5,1561.35,30.54,0.01,12.42
1620.6,1561.44,31.07,0.01,12.42
1620.7,1561.54,32.37,0.01,17.55
1620.8,1561.63,32.37,0.01,22.69
1620.9,1561.73,31.57,0.01,22.69
1621.0,1561.82,32.59,0.01,22.69
1621.1,1561.92,30.43,0.01,22.69
1621.2,1562.01,33.06,0.01,16.4
1621.3,1562.11,32.61,0.01,16.4
1621.4,1562.2,30.41,0.01,16.4
1621.5,1562.3,31.01,0.01,16.4
1621.6,1562.39,14.845,0.485,9.29
1621.7,1562.49,15.905,0.48,5.755
1621.8,1562.59,14.785,0.565,5.755
1621.9,1562.68,14.89,0.675,5.755
1622.0,1562.78,16.035,2.79,11.48
1622.1,1562.87,15.44,2.86,11.48
1622.3,1563.06,0.05,3.49,13.63
1623.1,1563.83,0.16,0.24,2.18
1623.4,1564.11,0.86,0.03,1.7
1623.5,1564.21,0.7,0.11,1.7
1623.7,1564.4,0.41,0.14,1.7
1624.3,1564.97,0.81,0.7,4.0
1624.4,1565.06,0.63,0.76,4.5
1624.8,1565.44,0.17,0.99,4.5
1625.0,1565.64,0.27,0.94,3.95
1625.1,1565.73,0.13,0.94,3.95
1625.3,1565.92,0.62,0.75,3.95
1625.4,1566.02,0.38,0.97,3.99
1625.5,1566.11,0.26,0.7,3.99
1626.2,1566.78,0.35,0.82,4.11
1626.3,1566.87,0.52,0.9,4.11
1626.7,1567.25,0.08,0.98,4.56
1626.8,1567.35,0.56,1.13,3.18
1626.9,1567.44,0.16,1.24,3.18
1627.0,1567.54,0.14,1.01,3.18
1627.5,1568.01,0.53,1.6,5.51
1627.8,1568.3,0.09,1.89,5.51
1628.0,1568.49,0.03,2.34,4.15
1628.1,1568.58,0.93,2.24,4.15
1628.3,1568.78,0.38,2.42,4.15
1628.9,1569.35,0.46,3.21,12.0
1629.1,1569.54,0.2,3.22,12.0
1629.3,1569.73,0.08,3.1,12.0
1629.7,1570.11,0.72,3.31,11.63
1629.8,1570.2,0.77,2.46,11.63
1630.0,1570.39,0.86,3.25,8.75
1630.1,1570.49,0.11,2.97,8.75
1630.4,1570.77,0.91,2.82,7.9
1630.7,1571.05,0.52,3.1,7.9
1630.8,1571.15,0.01,3.27,7.9
1631.2,1571.53,0.73,2.92,8.26
1631.3,1571.62,0.45,2.89,8.26
1631.7,1572.0,0.33,2.92,7.43
1632.3,1572.57,0.14,3.05,7.79
1632.6,1572.86,0.58,3.2,8.39
1632.8,1573.05,0.07,3.0,8.39
1633.0,1573.24,0.6,3.17,9.2
1633.1,1573.33,0.75,3.01,9.2
1633.4,1573.62,0.3,2.95,8.02
1633.9,1574.09,0.52,2.79,8.92
1634.1,1574.28,0.23,3.19,8.92
1634.2,1574.38,0.5,3.4,8.92
1634.4,1574.57,0.36,2.7,10.17
1634.6,1574.76,0.11,2.79,10.18
1634.9,1575.04,0.56,3.1,9.6
1635.1,1575.23,0.52,3.0,9.6
1635.3,1575.42,0.18,3.2,9.6
1635.4,1575.51,0.4,3.16,9.21
1636.1,1576.18,0.77,2.59,9.67
1636.8,1576.84,0.07,2.96,12.68
1636.9,1576.94,0.29,2.82,12.68
1637.0,1577.03,0.89,2.64,10.9
1637.2,1577.22,0.54,2.67,10.9
1637.5,1577.51,0.32,3.1,10.9
1637.7,1577.69,0.75,2.62,11.85
1637.9,1577.88,0.06,3.01,11.85
1638.5,1578.45,0.24,5.47,6.41
1638.7,1578.64,0.31,1.31,6.41
1639.1,1579.02,0.62,2.22,11.45
1639.8,1579.68,0.36,2.13,7.93
1639.9,1579.78,0.45,2.05,7.93
1640.1,1579.97,0.02,2.07,8.09
1640.4,1580.25,0.54,2.65,8.09
1640.6,1580.44,0.65,3.04,12.49
1640.8,1580.63,0.2,3.03,12.49
1641.0,1580.82,0.05,3.48,11.5
1641.2,1581.01,0.45,3.1,11.5
1641.4,1581.2,0.12,3.69,11.58
