MD,TVD,RPMA,WOBA,ROPA
256.777,256.79187,139.181,1.5401729,8.205673
256.852,256.8696,139.42,2.4707177,6.869582
256.927,256.9396,139.403,2.1606872,6.0295534
256.977,256.99152,139.386,1.8506569,5.1895247
257.077,257.09195,139.4575,1.9313964,5.2323494
257.252,257.25668,139.593,1.8352348,5.8503313
257.277,257.29022,139.593,1.8352348,5.8503313
257.427,257.435,139.434,1.8270701,6.1746383
257.452,257.45786,139.434,1.8270701,6.1746383
257.602,257.60416,139.5,1.7839788,6.2865
257.627,257.64682,139.5,1.7839788,6.2865
257.702,257.7075,139.134,3.081253,4.5531025
257.727,257.73828,139.134,3.081253,4.5531025
257.777,257.79312,139.134,3.081253,4.5531025
257.827,257.848,139.134,3.081253,4.5531025
257.902,257.91403,139.415,2.8762293,4.9764695
257.927,257.94553,139.415,2.8762293,4.9764695
257.977,257.94553,139.415,2.8762293,4.9764695
258.002,258.017,139.0,2.8113656,8.025689
258.152,258.16788,139.396,2.7814283,8.033309
258.177,258.1833,139.396,2.7814283,8.033309
258.202,258.2168,139.396,2.7814283,8.033309
258.227,258.24118,139.396,2.7814283,8.033309
258.302,258.31418,139.3035,2.739698,8.116672
258.352,258.36615,139.211,2.6979675,8.200034
258.477,258.4896,139.0,2.6022594,8.318296
258.502,258.50333,139.0,2.6022594,8.318296
258.777,258.79898,139.631,3.007771,7.8220825
259.227,259.23926,139.369,2.7455945,10.426903
259.277,259.2897,139.369,2.7455945,10.426903
259.302,259.3202,139.369,2.7455945,10.426903
259.377,259.39792,139.422,2.2439215,10.696346
259.477,259.49088,139.422,2.2439215,10.696346
259.677,259.69812,139.716,0.9756772,10.76767
259.702,259.71338,139.716,0.9756772,10.76767
259.827,259.84747,139.372,1.2142668,10.76767
259.927,259.93893,139.372,1.2142668,10.76767
260.077,260.0883,139.245,1.1525782,10.771327
260.127,260.14587,139.363,1.1357952,10.764317
260.177,260.19193,139.363,1.1357952,10.764317
260.202,260.20715,139.363,1.1357952,10.764317
260.227,260.23764,139.363,1.1357952,10.764317
260.377,260.387,139.713,0.98248106,10.771327
260.452,260.46014,139.275,1.601181,10.771327
260.527,260.53635,139.275,1.601181,10.771327
260.602,260.6095,139.422,1.7177544,10.760659
260.652,260.67044,139.422,1.7177544,10.760659
260.677,260.6857,139.422,1.7177544,10.760659
260.752,260.76477,139.466,1.9359323,10.750296
260.802,260.80457,139.466,1.9359323,10.750296
260.827,260.85028,139.466,1.9359323,10.750296
260.852,260.8655,139.466,1.9359323,10.750296
260.927,260.93866,139.745,1.8710685,10.748467
260.952,260.95392,139.745,1.8710685,10.748467
260.977,260.9844,139.745,1.8710685,10.748467
261.002,261.01486,139.745,1.8710685,10.748467
261.052,261.06653,139.206,1.8810476,10.760659
261.152,261.1642,139.206,1.8810476,10.760659
261.227,261.23737,139.277,1.7762678,10.772547
261.302,261.31357,139.277,1.7762678,10.772547
261.352,261.37454,139.0,1.7544953,10.771327
261.452,261.46292,139.0,1.7544953,10.771327
261.502,261.5239,139.275,1.8243486,10.763402
261.527,261.54523,139.275,1.8243486,10.763402
261.552,261.56656,139.275,1.8243486,10.763402
261.577,261.5818,139.275,1.8243486,10.763402
261.652,261.6699,139.784,1.9948993,10.763707
261.752,261.76163,139.784,1.9948993,10.763707
261.827,261.84393,139.471,2.1200907,10.761269
261.902,261.91098,139.471,2.1200907,10.761269
261.952,261.97467,139.578,1.8651718,10.761269
262.002,262.01462,139.578,1.8651718,10.761269
262.027,262.03748,139.578,1.8651718,10.761269
262.127,262.14417,139.088,1.9146134,10.760964
262.177,262.1792,139.088,1.9146134,10.760964
262.202,262.2097,139.088,1.9146134,10.760964
262.277,262.27948,139.167,2.1087508,10.747858
262.327,262.33618,139.167,2.1087508,10.747858
262.352,262.35904,139.167,2.1087508,10.747858
262.377,262.38953,139.167,2.1087508,10.747858
262.427,262.4319,139.774,2.246643,10.748162
262.452,262.46268,139.774,2.246643,10.748162
262.502,262.5084,139.774,2.246643,10.748162
262.527,262.53888,139.774,2.246643,10.748162
262.577,262.59055,139.549,2.1894903,10.760964
262.602,262.61203,139.549,2.1894903,10.760964
262.627,262.6349,139.549,2.1894903,10.760964
262.652,262.65775,139.549,2.1894903,10.760964
262.727,262.74292,139.235,2.179965,10.761878
262.752,262.76443,139.235,2.179965,10.761878
262.802,262.82233,139.235,2.179965,10.761878
262.827,262.8376,139.235,2.179965,10.761878
262.877,262.89853,139.402,2.493851,10.761269
262.902,262.92596,139.402,2.493851,10.761269
262.927,262.9412,139.402,2.493851,10.761269
262.952,262.95645,139.402,2.493851,10.761269
262.977,262.98694,139.402,2.493851,10.761269
263.027,263.04788,139.725,2.2330353,10.760964
263.052,263.06314,139.725,2.2330353,10.760964
263.227,263.22772,139.461,2.432616,10.761269
263.252,263.25516,139.461,2.432616,10.761269
263.402,263.4045,140.0,2.1858616,10.756392
263.502,263.52338,139.291,2.6557834,10.693298
263.577,263.5813,139.291,2.6557834,10.693298
263.677,263.6849,139.154,2.9438145,10.596982
263.802,263.81598,139.875,2.808644,10.56955
263.952,263.95908,139.077,2.656237,10.581437
263.977,263.99277,139.077,2.656237,10.581437
264.002,264.02325,139.077,2.656237,10.581437
264.027,264.0507,139.077,2.656237,10.581437
264.102,264.1269,139.602,2.9247637,10.59881
264.252,264.26068,139.317,2.8195302,10.577779
264.277,264.29147,139.317,2.8195302,10.577779
264.327,264.34024,139.317,2.8195302,10.577779
264.402,264.4131,139.435,2.4997475,10.040417
264.427,264.43625,139.435,2.4997475,10.040417
264.452,264.46063,139.435,2.4997475,10.040417
264.477,264.49265,139.435,2.4997475,10.040417
264.552,264.5719,139.731,2.7514913,9.390888
264.577,264.59018,139.731,2.7514913,9.390888
264.702,264.7179,139.359,2.6653087,9.28878
264.777,264.77914,139.359,2.6653087,9.28878
264.802,264.80353,139.359,2.6653087,9.28878
264.852,264.86282,139.44,2.6151867,9.280855
264.877,264.89194,139.521,2.565065,9.27293
264.902,264.91632,139.521,2.565065,9.27293
264.927,264.93918,139.521,2.565065,9.27293
265.002,265.02267,139.418,3.049048,8.654796
265.027,265.04282,139.418,3.049048,8.654796
265.052,265.05957,139.418,3.049048,8.654796
265.077,265.0809,139.418,3.049048,8.654796
265.102,265.10223,139.418,3.049048,8.654796
265.227,265.23636,139.421,3.0372546,8.0327
265.327,265.3348,139.374,2.9642262,7.8867
265.352,265.35522,139.374,2.9642262,7.8867
265.377,265.38876,139.374,2.9642262,7.8867
265.402,265.4101,139.374,2.9642262,7.8867
265.477,265.4799,139.721,2.840849,7.848295
265.502,265.51675,139.721,2.840849,7.848295
265.527,265.53812,139.721,2.840849,7.848295
265.552,265.5564,139.721,2.840849,7.848295
265.602,265.6021,139.721,2.840849,7.848295
265.652,265.66003,139.545,2.904352,7.7483206
265.702,265.7088,139.545,2.904352,7.7483206
265.777,265.79718,139.268,2.8902905,7.711745
265.802,265.8185,139.268,2.8902905,7.711745
265.852,265.86118,139.268,2.8902905,7.711745
265.902,265.90387,139.268,2.8902905,7.711745
265.927,265.9496,139.432,3.0585732,7.8080616
266.002,266.01358,139.432,3.0585732,7.8080616
266.077,266.08368,139.432,3.0585732,7.8080616
266.127,266.1355,139.274,3.2055373,7.684922
266.227,266.2422,139.3585,3.100304,7.5640693
266.277,266.294,139.443,2.9950705,7.443216
269.001,269.0026,93.0,3.8545272,12.21
269.026,269.02625,93.0,3.8545272,12.21
269.101,269.11066,93.0,3.8545272,12.21
269.126,269.13748,93.0,3.8545272,12.21
269.151,269.15,93.0,3.8545272,12.21
269.251,269.25543,93.0,3.8545272,12.21
269.276,269.29233,93.0,3.8545272,12.21
269.326,269.3362,93.0,3.8545272,12.21
269.351,269.35693,93.0,3.8545272,12.21
269.401,269.41058,93.0,3.8545272,12.21
269.426,269.44092,93.0,3.8545272,12.21
269.451,269.46027,93.0,3.8545272,12.21
269.501,269.52246,93.0,3.8545272,12.21
269.526,269.5447,93.0,3.8545272,12.21
269.576,269.5947,93.0,3.8545272,12.21
269.601,269.60504,93.0,3.8545272,12.21
269.651,269.66724,93.0,3.8545272,12.21
269.676,269.6901,93.0,3.8545272,12.21
269.726,269.7471,93.0,3.8545272,12.21
269.751,269.7605,93.0,3.8545272,12.21
269.801,269.812,93.0,3.8545272,12.21
269.826,269.83273,93.0,3.8545272,12.21
269.851,269.85315,93.0,3.8545272,12.21
269.876,269.88684,93.0,3.8545272,12.21
269.901,269.91565,93.0,3.8545272,12.21
269.951,269.95648,93.0,3.8545272,12.21
269.976,269.9775,93.0,3.8545272,12.21
270.001,269.99,94.0,4.3133993,15.51
270.051,270.056,94.0,4.3133993,15.51
270.076,270.08115,94.0,4.3133993,15.51
270.101,270.12228,94.0,4.3133993,15.51
270.176,270.18448,94.0,4.3133993,15.51
270.201,270.20428,94.0,4.3133993,15.51
270.226,270.2363,94.0,4.3133993,15.51
270.251,270.26706,94.0,4.3133993,15.51
270.301,270.30884,94.0,4.3133993,15.51
270.351,270.36356,94.0,4.3133993,15.51
270.376,270.39142,94.0,4.3133993,15.51
270.501,270.51215,94.0,4.3133993,15.51
270.551,270.55664,94.0,4.3133993,15.51
270.601,270.6191,94.0,4.3133993,15.51
270.626,270.63983,94.0,4.3133993,15.51
270.651,270.6615,94.0,4.3133993,15.51
270.676,270.6813,94.0,4.3133993,15.51
270.701,270.7121,94.0,4.3133993,15.51
270.801,270.80948,94.0,4.3133993,15.51
270.826,270.82608,94.0,4.3133993,15.51
270.827,270.84467,139.078,2.1037614,10.76767
270.852,270.87515,139.078,2.1037614,10.76767
270.951,270.9599,94.0,4.3133993,15.51
270.952,270.96628,139.059,2.1191835,10.76767
271.001,271.0,94.0,4.3337936,15.81
271.026,271.04187,94.0,4.3337936,15.81
271.051,271.06625,94.0,4.3337936,15.81
271.101,271.11746,94.0,4.3337936,15.81
271.126,271.14093,94.0,4.3337936,15.81
271.127,271.14337,139.451,1.4079508,10.760964
271.151,271.16592,94.0,4.3337936,15.81
271.152,271.16623,139.451,1.4079508,10.760964
271.176,271.19092,94.0,4.3337936,15.81
271.251,271.26346,94.0,4.3337936,15.81
271.276,271.297,94.0,4.3337936,15.81
271.277,271.2775,139.216,1.0337371,10.764317
271.326,271.32443,94.0,4.3337936,15.81
271.352,271.3537,139.216,1.0337371,10.764317
271.401,271.41586,94.0,4.3337936,15.81
271.426,271.43414,94.0,4.3337936,15.81
271.451,271.46158,94.0,4.3337936,15.81
271.501,271.52042,94.0,4.3337936,15.81
271.502,271.50305,139.307,1.0328299,10.774984
271.527,271.5335,139.307,1.0328299,10.774984
271.552,271.5759,139.618,0.85320723,10.772547
271.576,271.57907,94.0,4.3337936,15.81
271.602,271.62192,139.618,0.85320723,10.772547
271.626,271.62436,94.0,4.3337936,15.81
271.651,271.6591,94.0,4.3337936,15.81
271.652,271.6524,139.618,0.85320723,10.772547
271.676,271.69385,94.0,4.3337936,15.81
271.726,271.72067,94.0,4.3337936,15.81
271.727,271.74384,139.745,0.89947367,10.760964
271.751,271.76334,94.0,4.3337936,15.81
271.776,271.7981,94.0,4.3337936,15.81
271.777,271.80173,139.745,0.89947367,10.760964
271.826,271.83252,94.0,4.3337936,15.81
271.876,271.88068,94.0,4.3337936,15.81
271.901,271.9017,94.0,4.3337936,15.81
271.926,271.93646,94.0,4.3337936,15.81
271.951,271.97214,94.0,4.3337936,15.81
271.976,272.0,93.0,2.773628,16.5
272.026,272.02545,93.0,2.773628,16.5
272.027,272.0378,139.529,2.9224956,10.761878
272.051,272.05502,93.0,2.773628,16.5
272.052,272.05777,139.529,2.9224956,10.761878
272.102,272.1157,139.529,2.9224956,10.761878
272.176,272.1855,93.0,2.773628,16.5
272.201,272.22055,93.0,2.773628,16.5
272.252,272.27417,139.549,2.5872908,10.75182
272.276,272.29916,93.0,2.773628,16.5
272.326,272.32996,93.0,2.773628,16.5
272.327,272.3411,142.284,2.5133553,7.249973
272.351,272.37354,93.0,2.773628,16.5
272.352,272.37476,142.284,2.5133553,7.249973
272.401,272.41074,93.0,2.773628,16.5
272.426,272.4482,93.0,2.773628,16.5
272.476,272.48785,93.0,2.773628,16.5
272.501,272.52258,93.0,2.773628,16.5
272.502,272.50888,149.0,2.2969918,7.2441816
272.527,272.53937,149.0,2.2969918,7.2441816
272.551,272.55978,93.0,2.773628,16.5
272.552,272.56982,149.0,2.2969918,7.2441816
272.576,272.59695,93.0,2.773628,16.5
272.577,272.59726,149.0,2.2969918,7.2441816
272.626,272.63477,93.0,2.773628,16.5
272.627,272.6427,149.786,2.403586,10.721644
272.651,272.67133,93.0,2.773628,16.5
272.652,272.66586,149.786,2.403586,10.721644
